model,label,dataset,ridge_spearman,ridge_r2,knn_spearman,n_train,n_test,eval
vanilla_650m,ESM2-650M,ed2_m22,0.530350931676546,0.439333438873291,0.5423191436340726,220283,27536,train->test
vanilla_650m,ESM2-650M,ed5_m22,0.7614761815201214,0.7072683572769165,0.7515124887416905,343056,42884,train->test
vanilla_650m,ESM2-650M,ed811_m22,0.6732783095829916,0.6169275045394897,0.6077328407258931,282967,35430,train->test
vanilla_650m,ESM2-650M,ed2_si06,0.59506153888267,0.5073325037956238,0.5927916749732471,73012,9011,train->test
vanilla_650m,ESM2-650M,ed5_si06,0.7325716183992803,0.766844630241394,0.731553765592693,181472,22578,train->test
vanilla_650m,ESM2-650M,exp,0.6423466231432713,0.5866950750350952,0.6221108571921542,102956,102956,5-fold cv
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_m22,0.5237471305557485,0.4393906593322754,0.5500319417237013,220283,27536,train->test
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_m22,0.757826221927309,0.6961976289749146,0.7554659440939444,343056,42884,train->test
evo_c05_cdrmix,C05 cdrmix (best.pt),ed811_m22,0.6694277334354337,0.6043455600738525,0.6278989065492699,282967,35430,train->test
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_si06,0.5881590788875029,0.4999508857727051,0.6071458224494464,73012,9011,train->test
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_si06,0.7264335423079724,0.7547086477279663,0.7323304261629417,181472,22578,train->test
evo_c05_cdrmix,C05 cdrmix (best.pt),exp,0.6210533961350058,0.5623660087585449,0.6349778499296913,102956,102956,5-fold cv
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_m22,0.5249236907982145,0.440754771232605,0.5501552174888834,220283,27536,train->test
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_m22,0.7583436387390371,0.6966290473937988,0.7533726756400587,343056,42884,train->test
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed811_m22,0.6699594190299725,0.6058052778244019,0.6270836363439654,282967,35430,train->test
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_si06,0.5886874792488745,0.499067485332489,0.6065890098014545,73012,9011,train->test
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_si06,0.727633499206316,0.7582545280456543,0.7289799650504182,181472,22578,train->test
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),exp,0.6226531051853724,0.5618677735328674,0.6341991276818805,102956,102956,5-fold cv
